ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd,account_id
20240529,00950,0000009030,시장가,01,매도,093370,후성,1541,151541,1541,7570,11666810,01,1
20240530,00950,0000004724,시장가,02,매수,035510,신세계 I&C,1508,115412,1508,10912,16455640,01,1
20240530,00950,0000005381,시장가,02,매수,010120,LS ELECTRIC,72,122325,72,227847,16405000,01,1
20240530,00950,0000005913,시장가,02,매수,033640,네패스,935,130536,935,17586,16443450,01,1
20240530,00950,0000009507,시장가,01,매도,010120,LS ELECTRIC,72,151534,72,221000,15912000,01,1
20240530,00950,0000009508,시장가,01,매도,033640,네패스,935,151536,935,17432,16299160,01,1
20240530,00950,0000009513,시장가,01,매도,035510,신세계 I&C,1508,151538,282,10879,3068000,01,1
20240531,00950,0000002675,시장가,02,매수,000990,DB하이텍,293,094421,293,40194,11777000,01,1
20240531,00950,0000002694,시장가,02,매수,093370,후성,1577,094434,1577,7463,11769310,01,1
20240531,00950,0000002999,시장가,01,매도,000990,DB하이텍,293,094952,293,40200,11778600,01,1
20240531,00950,0000003000,시장가,01,매도,035510,신세계 I&C,1226,094953,1226,11178,13705280,01,1
20240531,00950,0000003007,시장가,01,매도,093370,후성,1577,094955,1577,7443,11738940,01,1
20240531,00950,0000003022,시장가,02,매수,000990,DB하이텍,98,095010,98,40244,3944000,01,1
20240531,00950,0000003037,시장가,02,매수,093370,후성,532,095024,532,7440,3958540,01,1
20240531,00950,0000003063,시장가,02,매수,118990,모트렉스,303,095042,303,13095,3967950,01,1
