ord_dt,ord_gno_brno,odno,ord_dvsn_name,sll_buy_dvsn_cd,sll_buy_dvsn_cd_name,pdno,prdt_name,ord_qty,ord_tmd,tot_ccld_qty,avg_prvs,tot_ccld_amt,ord_dvsn_cd
20240527,00950,0000014773,시장가,02,매수,005930,삼성전자,212,145459,212,77174,16361000,01
20240527,00950,0000015467,시장가,01,매도,005930,삼성전자,212,151535,212,77685,16469300,01
20240528,00950,0000003220,시장가,02,매수,093370,후성,2122,094655,2122,7720,16381910,01
20240528,00950,0000003233,시장가,02,매수,066570,LG전자,157,094704,157,103979,16324800,01
20240528,00950,0000004716,시장가,02,매수,217820,원익피앤이,3328,100658,3328,4905,16325500,01
20240528,00950,0000016976,시장가,01,매도,066570,LG전자,157,143446,157,106423,16708500,01
20240528,00950,0000016977,시장가,01,매도,093370,후성,2122,143448,2122,7622,16175600,01
20240528,00950,0000016979,시장가,01,매도,217820,원익피앤이,3328,143450,3328,4867,16200485,01
20240528,00950,0000017054,시장가,02,매수,093370,후성,479,143848,479,7620,3649980,01
20240528,00950,0000017059,시장가,02,매수,066570,LG전자,34,143858,34,106891,3634300,01
20240528,00950,0000018309,시장가,01,매도,066570,LG전자,34,151534,34,109111,3709800,01
20240528,00950,0000018312,시장가,01,매도,093370,후성,479,151535,479,7620,3650180,01
20240529,00950,0000002540,시장가,02,매수,033640,네패스,569,100006,569,17431,9918270,01
20240529,00950,0000005097,시장가,02,매수,093370,후성,1541,123327,1541,7748,11940700,01
20240529,00950,0000009023,시장가,01,매도,033640,네패스,569,151539,569,17237,9808360,01
